Brand,Year,Card Number,Player,Team,Price,Avg Ebay Price,All Card Data,Count,Median Listed Price,Cheapest Price,Most Expensive Price,Buy It Now Count,Buy It Now Avg,Auct Count,Act Avg,Query,Confidence level,,,Rarity,,
Topps Archive (1991),1953,5,Joe Dobson,Chicago White Sox,$0.20,$1.79,Topps Archive (1991)|1953|5|Joe Dobson|Chicago White Sox,16,$1.99,$1.00,$2.88,16,$1.79,$0.00,N/A,Query: 1953 Topps Archive (1991) Joe Dobson | Found: 26 | Used: 16 | API: 1 | Outliers: 0,High Confidence,Market Data,10/25/2025,Uncommon,0.4x,Moderate (±28%)
Topps Archive (1991),1953,152,Bob Adams,Cincinnati Reds,$0.15,$1.76,Topps Archive (1991)|1953|152|Bob Adams|Cincinnati Reds,12,$1.79,$1.00,$2.56,12,$1.76,$0.00,N/A,Query: 1953 Topps Archive (1991) Bob Adams | Found: 33 | Used: 12 | API: 1 | Outliers: 1,High Confidence,Market Data,10/25/2025,Uncommon,0.4x,Moderate (±27%)
Topps Archive (1991),1953,171,Bill Glynn,Cleveland Indians,$0.20,$1.77,Topps Archive (1991)|1953|171|Bill Glynn|Cleveland Indians,16,$1.85,$1.00,$2.56,16,$1.77,$0.00,N/A,Query: 1953 Topps Archive (1991) Bill Glynn | Found: 35 | Used: 16 | API: 1 | Outliers: 0,High Confidence,Market Data,10/25/2025,Uncommon,0.4x,Moderate (±25%)
Topps Archive (1991),1953,182,Bob Hoffman,New York Giants,$0.10,$9.13,Topps Archive (1991)|1953|182|Bob Hoffman|New York Giants,9,$9.99,$1.00,$20.00,9,$9.13,$0.00,N/A,Query: 1953 Bob Hoffman | Found: 16 | Used: 9 | API: 19 | Outliers: 1,High Confidence,"Market Data (1 graded, 0 parallel adjusted)",10/25/2025,Scarce,1.8x,Volatile (±61%)
Topps Archive (1991),1953,187,Jim Fridley,Cleveland Indians,$0.10,$1.71,Topps Archive (1991)|1953|187|Jim Fridley|Cleveland Indians,18,$1.79,$1.00,$2.99,18,$1.71,$0.00,N/A,Query: 1953 Topps Archive (1991) Jim Fridley | Found: 36 | Used: 18 | API: 1 | Outliers: 0,High Confidence,Market Data,10/25/2025,Uncommon,0.3x,Moderate (±30%)
Topps Archive (1991),1953,195,Ed McGhee,Philadelphia Athletics,$0.20,$1.72,Topps Archive (1991)|1953|195|Ed McGhee|Philadelphia Athletics,18,$1.85,$1.00,$2.25,18,$1.72,$0.00,N/A,Query: 1953 Topps Archive (1991) Ed McGhee | Found: 37 | Used: 18 | API: 1 | Outliers: 0,High Confidence,Market Data,10/25/2025,Uncommon,0.3x,Moderate (±25%)
Topps Archive (1991),1953,229,Rocky Krsnich,Chicago White Sox,$0.15,$1.69,Topps Archive (1991)|1953|229|Rocky Krsnich|Chicago White Sox,18,$1.85,$1.00,$2.25,18,$1.69,$0.00,N/A,Query: 1953 Topps Archive (1991) Rocky Krsnich | Found: 32 | Used: 18 | API: 1 | Outliers: 0,High Confidence,Market Data,10/25/2025,Uncommon,0.3x,Moderate (±27%)
Topps Archive (1991),1953,255,Dixie Howell,Brooklyn Dodgers,$0.15,$1.63,Topps Archive (1991)|1953|255|Dixie Howell|Brooklyn Dodgers,17,$1.59,$1.00,$2.25,17,$1.63,$0.00,N/A,Query: 1953 Topps Archive (1991) Dixie Howell | Found: 31 | Used: 17 | API: 1 | Outliers: 2,High Confidence,Market Data,10/25/2025,Uncommon,0.3x,Moderate (±27%)
Topps Archive (1991),1953,257,Bob Boyd,Chicago White Sox,$0.20,$1.66,Topps Archive (1991)|1953|257|Bob Boyd|Chicago White Sox,15,$1.85,$1.00,$2.25,15,$1.66,$0.00,N/A,Query: 1953 Topps Archive (1991) Bob Boyd | Found: 31 | Used: 15 | API: 1 | Outliers: 0,High Confidence,Market Data,10/25/2025,Uncommon,0.3x,Moderate (±27%)
Topps,1958,242,Johnny Klippstein,Cincinnati Redlegs,,$4.46,Topps|1958|242|Johnny Klippstein|Cincinnati Redlegs,173,$4.00,$1.16,$10.50,173,$4.46,$0.00,N/A,Query: 1958 Topps Johnny Klippstein (broad) | Found: 200 | Used: 173 | API: 2 | Outliers: 2,High Confidence,Market Data,10/25/2025,Common,0.9x,Volatile (±49%)
Topps,1959,143,Willie Tasby,Baltimore Orioles,$1.20,$2.60,Topps|1959|143|Willie Tasby|Baltimore Orioles,158,$2.75,$1.00,$4.50,158,$2.60,$0.00,N/A,Query: 1959 Topps Willie Tasby (broad) | Found: 200 | Used: 158 | API: 2 | Outliers: 3,High Confidence,Market Data,10/25/2025,Common,0.5x,Moderate (±30%)
Topps,1959,477,Barry Latman,Chicago White Sox,$0.75,$2.76,Topps|1959|477|Barry Latman|Chicago White Sox,163,$2.77,$1.00,$4.95,163,$2.76,$0.00,N/A,Query: 1959 Topps Barry Latman (broad) | Found: 200 | Used: 163 | API: 2 | Outliers: 0,High Confidence,Market Data,10/25/2025,Common,0.6x,Moderate (±32%)
Topps,1959,536,Danny Kravitz,Pittsburgh Pirates,$7.50,$10.50,Topps|1959|536|Danny Kravitz|Pittsburgh Pirates,95,$9.00,$2.49,$28.00,95,$10.50,$0.00,N/A,Query: 1959 Topps Danny Kravitz (broad) | Found: 118 | Used: 95 | API: 2 | Outliers: 6,High Confidence,"Market Data (6 graded, 0 parallel adjusted)",10/25/2025,Common,2.1x,Volatile (±58%)
Topps,1960,197,Ron Kline,St. Louis Cardinals,$1.00,$2.25,Topps|1960|197|Ron Kline|St. Louis Cardinals,168,$2.25,$1.00,$3.95,168,$2.25,$0.00,N/A,Query: 1960 Topps Ron Kline (broad) | Found: 200 | Used: 168 | API: 2 | Outliers: 0,High Confidence,Market Data,10/25/2025,Common,0.5x,Moderate (±26%)
Topps,1960,238,Danny Kravitz,Pittsburgh Pirates,$1.50,$2.32,Topps|1960|238|Danny Kravitz|Pittsburgh Pirates,151,$2.45,$1.00,$3.95,151,$2.32,$0.00,N/A,Query: 1960 Topps Danny Kravitz (broad) | Found: 200 | Used: 151 | API: 2 | Outliers: 0,High Confidence,Market Data,10/25/2025,Common,0.5x,Moderate (±25%)
Topps,1961,79,Joe Ginsberg,Chicago White Sox,$2.00,$2.21,Topps|1961|79|Joe Ginsberg|Chicago White Sox,149,$2.15,$1.22,$3.32,149,$2.21,$0.00,N/A,Query: 1961 Topps Joe Ginsberg (broad) | Found: 200 | Used: 149 | API: 2 | Outliers: 12,High Confidence,Market Data,10/25/2025,Common,0.4x,Moderate (±24%)
Topps,1967,360,Leon Wagner,Cleveland Indians,$1.25,$2.42,Topps|1967|360|Leon Wagner|Cleveland Indians,143,$2.29,$1.00,$4.25,143,$2.42,$0.00,N/A,Query: 1967 Topps Leon Wagner (broad) | Found: 200 | Used: 143 | API: 2 | Outliers: 0,High Confidence,Market Data,10/25/2025,Common,0.5x,Moderate (±31%)
Topps,1970,27,Chuck Hinton,Cleveland Indians,$0.31,$1.77,Topps|1970|27|Chuck Hinton|Cleveland Indians,104,$1.90,$1.00,$2.73,104,$1.77,$0.00,N/A,Query: 1970 Topps Chuck Hinton (broad) | Found: 200 | Used: 104 | API: 2 | Outliers: 0,High Confidence,Market Data,10/25/2025,Common,0.7x,Moderate (±25%)
Topps,1971,612,Lou Camilli / Ted Ford / Steve Mingori,Cleveland Indians,$1.25,$4.53,Topps|1971|612|Lou Camilli / Ted Ford / Steve Mingori|Cleveland Indians,34,$4.00,$1.99,$10.00,34,$4.53,$0.00,N/A,Query: 1971 Topps Lou Camilli / Ted Ford / Steve Mingori | Found: 45 | Used: 34 | API: 1 | Outliers: 3,High Confidence,"Market Data (4 graded, 0 parallel adjusted)",10/25/2025,Common,1.8x,Volatile (±47%)
Topps,1973,297,Walt Williams,Cleveland Indians,$0.18,$2.25,Topps|1973|297|Walt Williams|Cleveland Indians,117,$1.99,$1.00,$5.00,117,$2.25,$0.00,N/A,Query: 1973 Topps Walt Williams (broad) | Found: 200 | Used: 117 | API: 2 | Outliers: 0,High Confidence,Market Data,10/25/2025,Common,0.9x,Volatile (±43%)
Topps,1973,425,Alex Johnson,Cleveland Indians,$0.20,$2.37,Topps|1973|425|Alex Johnson|Cleveland Indians,108,$2.00,$1.00,$5.00,108,$2.37,$0.00,N/A,Query: 1973 Topps Alex Johnson (broad) | Found: 200 | Used: 108 | API: 2 | Outliers: 2,High Confidence,Market Data,10/25/2025,Common,0.9x,Volatile (±47%)
Topps,1973,629,Cleveland Indians Team Card,Cleveland Indians,$4.02,$5.39,Topps|1973|629|Cleveland Indians Team Card|Cleveland Indians,32,$4.99,$2.99,$8.00,32,$5.39,$0.00,N/A,Query: 1973 Topps Cleveland Indians Team Card | Found: 50 | Used: 32 | API: 1 | Outliers: 5,High Confidence,"Market Data (1 graded, 0 parallel adjusted)",10/25/2025,Common,2.2x,Moderate (±27%)
Donruss,1981,222,Dan Quisenberry,Kansas City Royals,$0.10,$1.60,Donruss|1981|222|Dan Quisenberry|Kansas City Royals,79,$1.49,$0.50,$2.99,79,$1.60,$0.00,N/A,Query: 1981 Donruss Dan Quisenberry (broad) | Found: 130 | Used: 79 | API: 2 | Outliers: 2,High Confidence,"Market Data (0 graded, 1 parallel adjusted)",10/25/2025,Common,2.1x,Moderate (±36%)
Donruss,1981,259,Alan Ashby,Houston Astros,$0.20,$1.61,Donruss|1981|259|Alan Ashby|Houston Astros,43,$1.55,$0.99,$2.69,43,$1.61,$0.00,N/A,Query: 1981 Donruss Alan Ashby (broad) | Found: 100 | Used: 43 | API: 2 | Outliers: 5,High Confidence,Market Data,10/25/2025,Common,2.1x,Moderate (±25%)
Donruss,1981,296,Ron Cey,Los Angeles Dodgers,$0.18,$1.66,Donruss|1981|296|Ron Cey|Los Angeles Dodgers,64,$1.75,$0.99,$3.00,64,$1.66,$0.00,N/A,Query: 1981 Donruss Ron Cey (broad) | Found: 118 | Used: 64 | API: 2 | Outliers: 3,High Confidence,Market Data,10/25/2025,Common,2.2x,Moderate (±31%)
Donruss,1981,409,Carney Lansford,Anaheim Angels,$0.18,$1.58,Donruss|1981|409|Carney Lansford|Anaheim Angels,69,$1.50,$0.99,$2.69,69,$1.58,$0.00,N/A,Query: 1981 Donruss Carney Lansford (broad) | Found: 130 | Used: 69 | API: 2 | Outliers: 11,High Confidence,Market Data,10/25/2025,Common,2.1x,Moderate (±24%)
Fleer,1981,58,Enos Cabell,Houston Astros,$0.15,$1.67,Fleer|1981|58|Enos Cabell|Houston Astros,79,$1.74,$0.99,$2.99,79,$1.67,$0.00,N/A,Query: 1981 Fleer Enos Cabell (broad) | Found: 162 | Used: 79 | API: 2 | Outliers: 8,High Confidence,Market Data,10/25/2025,Common,2.2x,Moderate (±32%)
Donruss,1982,228,Hosken Powell,Minnesota Twins,$0.10,$1.52,Donruss|1982|228|Hosken Powell|Minnesota Twins,47,$1.50,$0.99,$2.89,47,$1.52,$0.00,N/A,Query: 1982 Donruss Hosken Powell (broad) | Found: 95 | Used: 47 | API: 2 | Outliers: 0,High Confidence,Market Data,10/25/2025,Common,2.0x,Moderate (±29%)
Fleer,1982,321,John Henry Johnson,Texas Rangers,$0.18,$1.65,Fleer|1982|321|John Henry Johnson|Texas Rangers,54,$1.75,$0.99,$2.99,54,$1.65,$0.00,N/A,Query: 1982 Fleer John Henry Johnson (broad) | Found: 101 | Used: 54 | API: 2 | Outliers: 2,High Confidence,Market Data,10/25/2025,Common,2.2x,Moderate (±28%)
Topps,1982,261,Howard Bailey / Marty Castillo / Dave Rucker,Detroit Tigers,$0.20,$1.94,Topps|1982|261|Howard Bailey / Marty Castillo / Dave Rucker|Detroit Tigers,55,$1.95,$0.99,$4.55,55,$1.94,$0.00,N/A,Query: 1982 Topps Howard Bailey / Marty Castillo / Dave Rucker (broad) | Found: 67 | Used: 55 | API: 2 | Outliers: 4,High Confidence,Market Data,10/25/2025,Common,2.6x,Moderate (±38%)
Topps,1982,305,Don Sutton,Houston Astros,$1.25,$1.55,Topps|1982|305|Don Sutton|Houston Astros,156,$1.69,$0.69,$1.95,156,$1.55,$0.00,N/A,Query: 1982 Topps Don Sutton (broad) | Found: 200 | Used: 156 | API: 2 | Outliers: 0,High Confidence,"Market Data (0 graded, 1 parallel adjusted)",10/25/2025,Common,2.1x,Moderate (±20%)
Donruss,1983,252,Steve Henderson,Chicago Cubs,$0.12,$1.43,Donruss|1983|252|Steve Henderson|Chicago Cubs,19,$1.50,$0.99,$2.50,19,$1.43,$0.00,N/A,Query: 1983 Donruss Steve Henderson (broad) | Found: 67 | Used: 19 | API: 2 | Outliers: 1,High Confidence,Market Data,10/25/2025,Uncommon,1.9x,Moderate (±31%)
Donruss,1983,636,Brett Butler,Atlanta Braves,$0.18,$1.64,Donruss|1983|636|Brett Butler|Atlanta Braves,36,$1.75,$0.63,$2.59,36,$1.64,$0.00,N/A,Query: 1983 Donruss Brett Butler (broad) | Found: 86 | Used: 36 | API: 2 | Outliers: 2,High Confidence,"Market Data (0 graded, 1 parallel adjusted)",10/25/2025,Common,2.2x,Moderate (±32%)
Fleer,1984,371,Mark Davis,San Francisco Giants,$0.18,$1.43,Fleer|1984|371|Mark Davis|San Francisco Giants,33,$1.50,$0.99,$2.09,33,$1.43,$0.00,N/A,Query: 1984 Fleer Mark Davis (broad) | Found: 85 | Used: 33 | API: 2 | Outliers: 3,High Confidence,Market Data,10/25/2025,Common,1.9x,Moderate (±26%)
Fleer,1984,536,Bert Blyleven,Cleveland Indians,$0.18,$1.59,Fleer|1984|536|Bert Blyleven|Cleveland Indians,80,$1.49,$0.69,$3.49,80,$1.59,$0.00,N/A,Query: 1984 Fleer Bert Blyleven (broad) | Found: 133 | Used: 80 | API: 2 | Outliers: 8,High Confidence,"Market Data (1 graded, 1 parallel adjusted)",10/25/2025,Common,2.1x,Volatile (±40%)
Topps,1984,179,Buck Martinez,Toronto Blue Jays,$0.18,$1.58,Topps|1984|179|Buck Martinez|Toronto Blue Jays,93,$1.50,$0.99,$3.00,93,$1.58,$0.00,N/A,Query: 1984 Topps Buck Martinez (broad) | Found: 200 | Used: 93 | API: 2 | Outliers: 6,High Confidence,Market Data,10/25/2025,Common,2.1x,Moderate (±35%)
Topps,1984,307,Bobby Mitchell,Minnesota Twins,$0.15,$1.62,Topps|1984|307|Bobby Mitchell|Minnesota Twins,108,$1.55,$0.99,$3.00,108,$1.62,$0.00,N/A,Query: 1984 Topps Bobby Mitchell (broad) | Found: 200 | Used: 108 | API: 2 | Outliers: 1,High Confidence,Market Data,10/25/2025,Common,2.2x,Moderate (±34%)
Donruss,1985,122,Vance Law,Chicago White Sox,$0.24,$1.72,Donruss|1985|122|Vance Law|Chicago White Sox,33,$1.75,$0.99,$2.99,33,$1.72,$0.00,N/A,Query: 1985 Donruss Vance Law (broad) | Found: 88 | Used: 33 | API: 2 | Outliers: 1,High Confidence,Market Data,10/25/2025,Common,2.3x,Moderate (±32%)
Donruss Leaf,1985,117,Rudy Law,Chicago White Sox,$0.15,$1.99,Donruss Leaf|1985|117|Rudy Law|Chicago White Sox,3,$1.99,$1.98,$2.00,3,$1.99,$0.00,N/A,Query: 1985 Donruss Leaf Rudy Law (broad) | Found: 8 | Used: 3 | API: 8 | Outliers: 1,High Confidence,Market Data,10/25/2025,Rare,2.7x,Stable (±0%)
Fleer,1985,93,Vern Ruhle,Cleveland Indians,$0.35,$1.51,Fleer|1985|93|Vern Ruhle|Cleveland Indians,43,$1.55,$0.99,$2.99,43,$1.51,$0.00,N/A,Query: 1985 Fleer Vern Ruhle (broad) | Found: 100 | Used: 43 | API: 2 | Outliers: 0,High Confidence,Market Data,10/25/2025,Common,2.0x,Moderate (±28%)
Fleer,1985,120,Rich Thompson,Cleveland Indians,$0.19,$1.59,Fleer|1985|120|Rich Thompson|Cleveland Indians,18,$1.59,$0.99,$2.99,18,$1.59,$0.00,N/A,Query: 1985 Fleer Rich Thompson | Found: 33 | Used: 18 | API: 1 | Outliers: 0,High Confidence,Market Data,10/25/2025,Uncommon,2.1x,Moderate (±33%)
Fleer,1985,126,Dave Von Ohlen,Cleveland Indians,$0.25,$1.57,Fleer|1985|126|Dave Von Ohlen|Cleveland Indians,44,$1.59,$0.99,$2.99,44,$1.57,$0.00,N/A,Query: 1985 Fleer Dave Von Ohlen (broad) | Found: 84 | Used: 44 | API: 2 | Outliers: 0,High Confidence,Market Data,10/25/2025,Common,2.1x,Moderate (±32%)
Topps,1985,2,Steve Garvey,Los Angeles Dodgers,$1.00,$1.41,Topps|1985|2|Steve Garvey|Los Angeles Dodgers,136,$1.50,$0.99,$1.98,136,$1.41,$0.00,N/A,Query: 1985 Topps Steve Garvey (broad) | Found: 200 | Used: 136 | API: 2 | Outliers: 0,High Confidence,Market Data,10/25/2025,Common,1.9x,Moderate (±26%)
Topps,1985,250,Jesse Orosco,New York Mets,$0.18,$1.69,Topps|1985|250|Jesse Orosco|New York Mets,108,$1.64,$0.99,$3.00,108,$1.69,$0.00,N/A,Query: 1985 Topps Jesse Orosco (broad) | Found: 200 | Used: 108 | API: 2 | Outliers: 0,High Confidence,Market Data,10/25/2025,Common,2.3x,Moderate (±38%)
Topps,1985,599,Storm Davis,Baltimore Orioles,$0.14,$1.67,Topps|1985|599|Storm Davis|Baltimore Orioles,102,$1.74,$0.99,$3.00,102,$1.67,$0.00,N/A,Query: 1985 Topps Storm Davis (broad) | Found: 200 | Used: 102 | API: 2 | Outliers: 10,High Confidence,Market Data,10/25/2025,Common,2.2x,Moderate (±33%)
Topps,1985,637,Brett Butler,Cleveland Indians,$0.18,$1.67,Topps|1985|637|Brett Butler|Cleveland Indians,115,$1.61,$0.63,$2.99,115,$1.67,$0.00,N/A,Query: 1985 Topps Brett Butler (broad) | Found: 200 | Used: 115 | API: 2 | Outliers: 4,High Confidence,"Market Data (0 graded, 1 parallel adjusted)",10/25/2025,Common,2.2x,Moderate (±34%)
Topps Traded,1985,3,Benny Ayala,Cleveland Indians,$0.15,$1.65,Topps Traded|1985|3|Benny Ayala|Cleveland Indians,27,$1.40,$0.99,$3.00,27,$1.65,$0.00,N/A,Query: 1985 Topps Traded Benny Ayala (broad) | Found: 63 | Used: 27 | API: 2 | Outliers: 2,High Confidence,Market Data,10/25/2025,Common,2.2x,Volatile (±42%)
Topps Traded,1985,21,Bryan Clark,Cleveland Indians,$0.15,$1.63,Topps Traded|1985|21|Bryan Clark|Cleveland Indians,31,$1.40,$0.99,$3.00,31,$1.63,$0.00,N/A,Query: 1985 Topps Traded Bryan Clark (broad) | Found: 67 | Used: 31 | API: 2 | Outliers: 0,High Confidence,Market Data,10/25/2025,Common,2.2x,Volatile (±41%)
Topps Traded,1985,99,Vern Ruhle,Cleveland Indians,$0.30,$1.58,Topps Traded|1985|99|Vern Ruhle|Cleveland Indians,33,$1.55,$0.99,$3.00,33,$1.58,$0.00,N/A,Query: 1985 Topps Traded Vern Ruhle (broad) | Found: 67 | Used: 33 | API: 2 | Outliers: 0,High Confidence,Market Data,10/25/2025,Common,2.1x,Moderate (±40%)
Topps Traded,1985,122,Rich Thompson,Cleveland Indians,$0.30,$1.59,Topps Traded|1985|122|Rich Thompson|Cleveland Indians,32,$1.50,$0.99,$3.00,32,$1.59,$0.00,N/A,Query: 1985 Topps Traded Rich Thompson (broad) | Found: 76 | Used: 32 | API: 2 | Outliers: 4,High Confidence,Market Data,10/25/2025,Common,2.1x,Moderate (±39%)
Topps Traded,1985,127,Dave Von Ohlen,Cleveland Indians,$0.30,$1.62,Topps Traded|1985|127|Dave Von Ohlen|Cleveland Indians,26,$1.59,$0.99,$3.00,26,$1.62,$0.00,N/A,Query: 1985 Topps Traded Dave Von Ohlen (broad) | Found: 65 | Used: 26 | API: 2 | Outliers: 2,High Confidence,Market Data,10/25/2025,Common,2.2x,Moderate (±37%)
Donruss,1986,2,Jose Rijo,Oakland Athletics,$0.18,$1.48,Donruss|1986|2|Jose Rijo|Oakland Athletics,85,$1.49,$0.99,$2.99,85,$1.48,$0.00,N/A,Query: 1986 Donruss Jose Rijo (broad) | Found: 163 | Used: 85 | API: 2 | Outliers: 4,High Confidence,Market Data,10/25/2025,Common,2.0x,Moderate (±34%)
Donruss,1986,9,Johnny Ray,Pittsburgh Pirates,$0.18,$1.64,Donruss|1986|9|Johnny Ray|Pittsburgh Pirates,83,$1.65,$0.99,$3.59,83,$1.64,$0.00,N/A,Query: 1986 Donruss Johnny Ray (broad) | Found: 200 | Used: 83 | API: 2 | Outliers: 8,High Confidence,Market Data,10/25/2025,Common,2.2x,Moderate (±38%)
Donruss,1986,12,Don Aase,Baltimore Orioles,$0.18,$1.30,Donruss|1986|12|Don Aase|Baltimore Orioles,120,$1.00,$0.90,$2.99,120,$1.30,$0.00,N/A,Query: 1986 Donruss Don Aase (broad) | Found: 155 | Used: 120 | API: 2 | Outliers: 12,High Confidence,"Market Data (0 graded, 1 parallel adjusted)",10/25/2025,Common,1.7x,Moderate (±35%)
Donruss,1986,14,Jeff Reardon,Montreal Expos,$0.18,$1.64,Donruss|1986|14|Jeff Reardon|Montreal Expos,108,$1.60,$0.50,$3.50,108,$1.64,$0.00,N/A,Query: 1986 Donruss Jeff Reardon (broad) | Found: 200 | Used: 108 | API: 2 | Outliers: 3,High Confidence,"Market Data (0 graded, 2 parallel adjusted)",10/25/2025,Common,2.2x,Volatile (±40%)
Donruss,1986,15,Hubie Brooks,Montreal Expos,$0.18,$1.54,Donruss|1986|15|Hubie Brooks|Montreal Expos,82,$1.50,$0.99,$2.99,82,$1.54,$0.00,N/A,Query: 1986 Donruss Hubie Brooks (broad) | Found: 200 | Used: 82 | API: 2 | Outliers: 8,High Confidence,Market Data,10/25/2025,Common,2.1x,Moderate (±35%)
Donruss,1986,16,Don Sutton,Anaheim Angels,$0.18,$1.41,Donruss|1986|16|Don Sutton|Anaheim Angels,186,$1.39,$0.69,$2.59,186,$1.41,$0.00,N/A,Query: 1986 Donruss Don Sutton (broad) | Found: 200 | Used: 186 | API: 2 | Outliers: 0,High Confidence,"Market Data (0 graded, 1 parallel adjusted)",10/25/2025,Common,1.9x,Moderate (±30%)
Donruss,1986,19,Kent Hrbek,Minnesota Twins,$0.18,$1.46,Donruss|1986|19|Kent Hrbek|Minnesota Twins,103,$1.49,$0.99,$3.09,103,$1.46,$0.00,N/A,Query: 1986 Donruss Kent Hrbek (broad) | Found: 200 | Used: 103 | API: 2 | Outliers: 8,High Confidence,Market Data,10/25/2025,Common,1.9x,Moderate (±33%)
Donruss,1986,20,Rick Rhoden,Pittsburgh Pirates,$0.18,$1.60,Donruss|1986|20|Rick Rhoden|Pittsburgh Pirates,77,$1.60,$0.99,$2.99,77,$1.60,$0.00,N/A,Query: 1986 Donruss Rick Rhoden (broad) | Found: 187 | Used: 77 | API: 2 | Outliers: 4,High Confidence,Market Data,10/25/2025,Common,2.1x,Moderate (±36%)
Donruss,1986,21,Kevin Bass,Houston Astros,$0.18,$1.54,Donruss|1986|21|Kevin Bass|Houston Astros,57,$1.50,$0.99,$2.99,57,$1.54,$0.00,N/A,Query: 1986 Donruss Kevin Bass (broad) | Found: 146 | Used: 57 | API: 2 | Outliers: 3,High Confidence,Market Data,10/25/2025,Common,2.1x,Moderate (±34%)
